"seurat_clusters","n","top_panel","top_score","cell_type","score_Rods","score_Cones","score_BC","score_Muller_Glia","score_RGC_Neuron","score_AC","score_RPE","score_Microglia"
"0",9392,"score_Rods",0.898732692754156,"Rods",0.898732692754156,-0.0838721889883363,-0.0435214656730071,-0.0980101006080717,-0.0130780094905833,-0.0142119427060215,-0.00315718978236191,-0.00188932802128852
"1",6980,"score_Rods",1.05178262660519,"Rods",1.05178262660519,-0.140814997437202,-0.0624614450005484,-0.143404254721906,-0.0198111850733833,-0.0204524926404994,-0.00416994505103456,-0.00232475639595025
"2",4410,"score_Rods",0.913387532933353,"Rods",0.913387532933353,-0.123195649060872,-0.0499804723823797,-0.12998525730487,-0.0213037237335096,-0.0222278792093117,-0.00468031343979022,-0.00290750871952175
"3",4397,"score_Rods",1.32620137783626,"Rods",1.32620137783626,-0.157196191039583,-0.10565683763466,-0.162768748061682,-0.0201986649405634,-0.0226350530746511,-0.00429469272218939,-0.0028693364060815
"4",3812,"score_Rods",1.17191886956907,"Rods",1.17191886956907,-0.143596073599383,-0.070390236210516,-0.149679224566695,-0.0201233751182333,-0.0228709462808431,-0.00462515346203534,-0.00275412254415711
"5",3346,"score_Muller_Glia",1.879714334623,"Muller Glia",-0.176568350199232,-0.176554275269273,-0.11389247311678,1.879714334623,-0.0257039069938127,0.106912672927597,-0.0230802317424372,-0.0218230768548748
"6",2690,"score_Rods",1.2284941198819,"Rods",1.2284941198819,-0.148685502566978,-0.0692169148875874,-0.164880659078933,-0.0298852586010056,-0.0310700428661437,-0.00755318768114735,-0.00469889068585959
"7",2371,"score_BC",0.559938028306583,"BC",-0.505382136124145,0.046573434708635,0.559938028306583,-0.332133613590855,-0.0522568948166079,-0.0798829072345202,-0.0207252384223372,-0.0120424975884169
"8",1800,"score_Rods",1.51461382218576,"Rods",1.51461382218576,-0.163167285861604,-0.143071810503485,-0.181030915039688,-0.0169381824062559,-0.0167279978567363,-0.00362537136279337,-0.0023215551924111
"9",1782,"score_Cones",1.50433168848269,"Cones",0.270182906018782,1.50433168848269,-0.200588971344426,-0.264910908353298,-0.0429020462415362,-0.0488944373605637,-0.013552893957504,-0.0105963809902458
"10",1415,"score_Rods",0.935123236948149,"Rods",0.935123236948149,0.0401189205728192,-0.0224959930707295,-0.0923287856337113,-0.0156390797905311,-0.0158636263661474,-0.00368434780338291,-0.00224595629040935
"11",1212,"score_AC",0.483930176178492,"AC",-0.215817133094817,-0.179881209539124,-0.135965797775511,-0.172413843347264,0.319422413151547,0.483930176178492,-0.0215014450069922,-0.0206514285434515
"12",995,"score_Cones",1.33999520287948,"Cones",0.230799994534125,1.33999520287948,-0.2076437933351,-0.267450279922276,-0.0452332438349185,-0.0481477257682893,-0.0143602809584761,-0.0102005508030509
"13",968,"score_BC",0.0998046570618881,"BC",-0.0374776336574053,-0.0263065547669204,0.0998046570618881,-0.170512275768785,0.0326898844459532,-0.0444092463844656,-0.0147561059024391,-0.0102903223231055
"14",935,"score_Rods",1.349204077106,"Rods",1.349204077106,-0.173600707952209,-0.107853963980996,-0.190109193417313,-0.0265158555654858,-0.0316629967330696,-0.00700884413965621,-0.00455676502300729
"15",824,"score_BC",0.524331147722766,"BC",-0.420182048183204,-0.0923134187724124,0.524331147722766,-0.293112184466963,-0.0259514286164703,-0.0762677295278314,-0.0191348044843206,-0.0134127082013144
"16",823,"score_BC",0.351433069295387,"BC",-0.324033067912524,-0.0462627426822631,0.351433069295387,-0.246099143813116,0.0491274503228173,-0.0526182880415123,-0.0168541612996475,-0.0129634931448009
"17",818,"score_Rods",0.614873862714184,"Rods",0.614873862714184,-0.0966096270502376,-0.0887790261827111,0.529099408780024,-0.0114433540192005,0.00503446828903269,-0.00481191825699158,-0.00112179931787734
"18",724,"score_Rods",1.76936416240173,"Rods",1.76936416240173,-0.24211500131146,-0.168102766635464,-0.271328841210486,-0.0359892738116252,-0.038731054605224,-0.0082763466737069,-0.00508061539008965
"19",699,"score_BC",0.428219225678816,"BC",-0.265644846580487,-0.00133398852885041,0.428219225678816,-0.218860334307569,0.0475250349014252,-0.0580702539562434,-0.0190520262556222,-0.0141202649345308
"20",626,"score_BC",0.386685167069324,"BC",-0.425215717194519,0.142711846073396,0.386685167069324,-0.285386328284461,-0.0163202691889056,-0.078969861484637,-0.0229140213583458,-0.0184893479025678
"21",559,"score_Muller_Glia",0.391891946510214,"Muller Glia",-0.0811580743824524,-0.136572468126856,-0.13818734842414,0.391891946510214,0.00668296094228903,-0.0400234093089126,-0.0323739596854315,-0.031380537617141
"22",533,"score_RGC_Neuron",0.160125395728182,"RGC/Neuron",-0.103241257814471,-0.058604436906665,-0.0162332624142254,-0.0319274041448254,0.160125395728182,-0.0129337359251254,-0.00685542703566671,-0.00790446582548956
"23",523,"score_BC",0.286610852624208,"BC",-0.454900058010009,-0.0292615746780654,0.286610852624208,-0.29164694752465,0.0888013105287526,-0.0709188588031765,-0.0216673092134282,-0.0163824858177777
"24",515,"score_RPE",1.0501641413621,"RPE",-0.00489884500160705,-0.10340553257366,-0.0537749441433785,0.802752817322889,-0.0355190384396188,0.0259051714311133,1.0501641413621,0.0161924457347867
"25",492,"score_BC",0.223559840606945,"BC",-0.378858489476972,-0.0821013761767454,0.223559840606945,-0.263268967185439,0.0420499756837039,-0.0669221716104202,-0.0186170474641291,-0.014916085887103
"26",487,"score_AC",0.66401781788636,"AC",-0.313755858192559,-0.166498204123289,-0.137528691221008,-0.165980308891311,0.281034886360093,0.66401781788636,-0.0144968602556286,-0.0171507750556018
