"method","target_k","actual_k","silhouette","rogue"
"PCA_KMeans",2,2,0.3818,0.8805
"PCA_KMeans",3,3,0.2253,0.8607
"PCA_KMeans",4,4,0.1028,0.8896
"PCA_KMeans",5,5,0.0961,0.9073
"PCA_KMeans",6,6,0.079,0.9056
"PCA_KMeans",7,7,0.07,0.9113
"PCA_KMeans",8,8,0.0659,0.9098
"PCA_KMeans",9,9,0.0467,0.9187
"PCA_GMM",2,2,0.2836,0.8857
"PCA_GMM",3,3,0.209,0.8492
"PCA_GMM",4,4,0.0407,0.8866
"PCA_GMM",5,5,0.0277,0.8846
"PCA_GMM",6,6,0.0093,0.8942
"PCA_GMM",7,7,0.0011,0.8978
"PCA_GMM",8,8,-0.0045,0.9094
"PCA_GMM",9,9,-0.0016,0.8973
"scDHA_KMeans",2,2,0.501,0.8611
"scDHA_KMeans",3,3,0.2574,0.8778
"scDHA_KMeans",4,4,0.1869,0.8542
"scDHA_KMeans",5,5,0.1335,0.8908
"scDHA_KMeans",6,6,0.1384,0.9011
"scDHA_KMeans",7,7,0.1392,0.8966
"scDHA_KMeans",8,8,0.1316,0.9043
"scDHA_KMeans",9,9,0.1184,0.9071
"PCA_LL",2,3,-0.0418,0.7871
"PCA_LL",3,3,-0.0418,0.7871
"PCA_LL",4,4,-0.059,0.865
"PCA_LL",5,5,0.0834,0.901
"PCA_LL",6,6,0.0856,0.8829
"PCA_LL",7,7,0.0858,0.8873
"PCA_LL",8,8,0.0736,0.905
"PCA_LL",9,9,0.0812,0.9127
"scDHA_LL",2,2,0.5144,0.8379
"scDHA_LL",3,3,0.3329,0.888
"scDHA_LL",4,4,0.2677,0.8969
"scDHA_LL",5,4,0.2677,0.8969
"scDHA_LL",6,7,0.1411,0.9096
"scDHA_LL",7,7,0.1411,0.9096
"scDHA_LL",8,8,0.1138,0.9151
"scDHA_LL",9,9,0.1021,0.9255
"PCA_Leiden",2,2,0.3158,0.8816
"PCA_Leiden",3,3,0.3579,0.882
"PCA_Leiden",4,5,0.3079,0.8827
"PCA_Leiden",5,5,0.3079,0.8827
"PCA_Leiden",6,6,0.3068,0.8845
"PCA_Leiden",7,7,0.3549,0.883
"PCA_Leiden",8,8,0.306,0.8838
"PCA_Leiden",9,9,0.2988,0.8909
"scDHA_Leiden",2,NA,NA,NA
"scDHA_Leiden",3,3,0.0454,0.7871
"scDHA_Leiden",4,4,-3e-04,0.7871
"scDHA_Leiden",5,5,-3e-04,0.7871
"scDHA_Leiden",6,6,0.1655,0.85
"scDHA_Leiden",7,7,0.1818,0.8635
"scDHA_Leiden",8,8,0.1819,0.8643
"scDHA_Leiden",9,10,0.1651,0.8497
