"method","target_k","actual_k","balance","jacc_min","marker_spec","rogue","sizes_str"
"PCA_KMeans",2,2,0.7079,0.9958,0.1491,0.8805,"7644/29127"
"PCA_KMeans",3,3,0.6132,0.9914,0.1582,0.8607,"7272/25418/4081"
"PCA_KMeans",4,4,0.6964,0.9883,0.1573,0.8896,"3123/5743/11973/15932"
"PCA_KMeans",5,5,0.7151,0.9467,0.1417,0.9073,"2847/4811/6707/8120/14286"
"PCA_KMeans",6,6,0.7073,0.9771,0.1395,0.9056,"2449/3653/12151/3922/8181/6415"
"PCA_KMeans",7,7,0.681,0.9581,0.156,0.9113,"2378/7690/3156/3291/2232/11129/6895"
"PCA_KMeans",8,8,0.6154,0.2721,0.1852,0.9098,"2236/7182/7242/1145/11107/3274/1582/3003"
"PCA_KMeans",9,9,0.6895,0.321,0.1514,0.9187,"6820/3222/3227/1161/1601/2229/6333/7736/4442"
"PCA_GMM",2,2,0.8013,0.9826,0.1291,0.8857,"25692/11079"
"PCA_GMM",3,3,0.6254,0.829,0.1063,0.8492,"23477/10477/2817"
"PCA_GMM",4,4,0.7328,0.7486,0.107,0.8866,"14865/10572/9066/2268"
"PCA_GMM",5,5,0.6963,0.3995,0.1189,0.8846,"12469/11239/6184/5495/1384"
"PCA_GMM",6,6,0.7215,0.3507,0.1377,0.8942,"11078/6458/4357/8323/5120/1435"
"PCA_GMM",7,7,0.7337,0.3372,0.1202,0.8978,"8126/4342/3983/9566/4858/4822/1074"
"PCA_GMM",8,8,0.7187,0.2502,0.1209,0.9094,"7445/4718/2412/8435/5036/3726/4145/854"
"PCA_GMM",9,9,0.651,0.1938,0.1336,0.8973,"8321/5584/3403/984/8024/3136/3889/2571/859"
"scDHA_KMeans",2,2,0.673,0.9952,0.1527,0.8611,"6362/30409"
"scDHA_KMeans",3,3,0.6913,0.9885,0.1489,0.8778,"9822/4961/21988"
"scDHA_KMeans",4,4,0.6534,0.9891,0.1642,0.8542,"4185/17372/3042/12172"
"scDHA_KMeans",5,5,0.6911,0.9574,0.1542,0.8908,"12398/12006/3311/6507/2549"
"scDHA_KMeans",6,6,0.693,0.9548,0.142,0.9011,"4613/10239/2461/4520/11756/3182"
"scDHA_KMeans",7,7,0.6122,0.9814,0.1695,0.8966,"655/11514/2961/4594/2233/4873/9941"
"scDHA_KMeans",8,8,0.5992,0.9488,0.1787,0.9043,"575/2627/2342/7664/7009/4525/10655/1374"
"scDHA_KMeans",9,9,0.5904,0.1887,0.1835,0.9071,"7114/6967/2258/10005/556/1380/1981/1896/4614"
"PCA_LL",2,3,0.3334,0,0,0.7871,"36767/2/2"
"PCA_LL",3,3,0.3334,0,0,0.7871,"36767/2/2"
"PCA_LL",4,4,0.2556,1e-04,0.1727,0.865,"36365/402/2/2"
"PCA_LL",5,5,0.3219,1e-04,0.1821,0.901,"25973/10392/402/2/2"
"PCA_LL",6,6,0.2735,1e-04,0.2175,0.8829,"25812/10350/402/203/2/2"
"PCA_LL",7,7,0.2638,2e-04,0.1999,0.8873,"25558/8106/2279/419/405/2/2"
"PCA_LL",8,8,0.3879,2e-04,0.1759,0.905,"13716/11842/8077/2284/443/405/2/2"
"PCA_LL",9,9,0.3675,0.0014,0.1902,0.9127,"13799/11687/6637/2694/1000/445/408/99/2"
"scDHA_LL",2,2,0.6443,0.9294,0.1592,0.8379,"31465/5306"
"scDHA_LL",3,3,0.6005,0.9468,0.131,0.888,"25600/7607/3564"
"scDHA_LL",4,4,0.5142,0.7647,0.1288,0.8969,"25238/5078/5012/1443"
"scDHA_LL",5,4,0.5142,0.8628,0.1288,0.8969,"25238/5078/5012/1443"
"scDHA_LL",6,7,0.5116,0.7194,0.1732,0.9096,"12913/12511/4829/2659/2171/1498/190"
"scDHA_LL",7,7,0.5116,0.8527,0.1732,0.9096,"12913/12511/4829/2659/2171/1498/190"
"scDHA_LL",8,8,0.5668,0.635,0.1931,0.9151,"10944/9831/5145/4340/2626/2178/1496/211"
"scDHA_LL",9,9,0.6237,0.34,0.1981,0.9255,"9629/7363/4855/4243/4158/2671/2167/1445/240"
"PCA_Leiden",2,2,0.7929,0.295,0.1206,0.8816,"26001/10770"
"PCA_Leiden",3,3,0.4917,0,0.1362,0.882,"28035/8735/1"
"PCA_Leiden",4,5,0.3206,0,0.1176,0.8827,"11078/25690/1/1/1"
"PCA_Leiden",5,5,0.3206,0,0.1176,0.8827,"11078/25690/1/1/1"
"PCA_Leiden",6,6,0.2694,NA,0.1185,0.8845,"11316/25451/1/1/1/1"
"PCA_Leiden",7,7,0.2134,NA,0.1358,0.883,"27708/9058/1/1/1/1/1"
"PCA_Leiden",8,8,0.2025,NA,0.1186,0.8838,"11365/25398/2/2/1/1/1/1"
"PCA_Leiden",9,9,0.1842,NA,0.1261,0.8909,"11203/25136/425/2/1/1/1/1/1"
"scDHA_Leiden",2,NA,NA,NA,NA,NA,NA
"scDHA_Leiden",3,3,0.3334,0,0,0.7871,"36769/1/1"
"scDHA_Leiden",4,4,0.2501,0,0,0.7871,"36768/1/1/1"
"scDHA_Leiden",5,5,0.2001,0,0,0.7871,"36767/1/1/1/1"
"scDHA_Leiden",6,6,0.2238,0,0.1617,0.85,"30477/6290/1/1/1/1"
"scDHA_Leiden",7,7,0.2017,0,0.1579,0.8635,"29212/7554/1/1/1/1/1"
"scDHA_Leiden",8,8,0.1767,0,0.1575,0.8643,"29192/7573/1/1/1/1/1/1"
"scDHA_Leiden",9,10,0.1345,0,0.1618,0.8497,"30472/6291/1/1/1/1/1/1/1/1"
