"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.02999346309924e-195,3.71097917767943,0.173,0.036,4.24897931761302e-191,"1","Tsix"
0,3.16370951418378,0.411,0.11,0,"1","Xist"
1.22504785594461e-54,2.75591105274399,0.123,0.067,2.56414766727767e-50,"1","AC160336.1"
0,2.39130602954004,0.428,0.241,0,"1","Gm19667"
4.05488279976006e-44,2.28230092575692,0.122,0.069,8.48727518817778e-40,"1","Gm14508"
0,2.25280658738741,1,0.763,0,"1","Malat1"
4.53629281868396e-39,2.23840564419372,0.141,0.091,9.4949144987874e-35,"1","AC149090.1"
3.28317862636037e-39,2.23020449023592,0.155,0.106,6.87202118283489e-35,"1","Gm9856"
0,2.20006563933217,0.917,0.508,0,"1","Mir124a-1hg"
5.03853040225023e-13,2.15153126039623,0.104,0.079,1.054614798495e-08,"1","Igf2bp3"
2.22132057565697e-20,2.10724148452892,0.106,0.069,4.64944609690761e-16,"1","6720427I07Rik"
2.44199662669477e-77,2.07074439466514,0.235,0.163,5.11134313933481e-73,"1","Dlg2"
2.18712986994207e-36,2.02067557324521,0.163,0.119,4.57788153077574e-32,"1","Gm4258"
2.65391626183285e-26,2.01737486903737,0.123,0.087,5.55491212764234e-22,"1","4930581F22Rik"
4.30546088660462e-10,1.97586522294076,0.123,0.108,9.01176018175213e-06,"1","6430590A07Rik"
3.8698364387757e-35,1.95006500323268,0.137,0.093,8.09995465000143e-31,"1","Gm45159"
2.66203416830763e-10,1.90362227508333,0.116,0.099,5.57190371768471e-06,"1","AU041133"
1.26092500702103e-63,1.90228545242093,0.246,0.187,2.63924213219572e-59,"1","Rnpc3"
7.32198471066576e-177,1.88991143831158,0.356,0.241,1.53256461978945e-172,"1","4632427E13Rik"
9.8585067979687e-10,1.88237762899009,0.101,0.081,2.06348405788283e-05,"1","Mrpl16"
3.01377781142502e-316,1.82294111720988,0.484,0.343,6.30813833709372e-312,"1","Zcchc7"
1.80049469422268e-209,1.79135097849138,0.414,0.297,3.76861544447749e-205,"1","Ttc14"
1.5571552774783e-20,1.78726241759025,0.165,0.138,3.25928171128983e-16,"1","Paxbp1"
3.72262110087769e-32,1.78242268773675,0.202,0.165,7.79181822624709e-28,"1","Ncapd3"
2.71423204873295e-09,1.7459043979391,0.125,0.109,5.68115910120294e-05,"1","3110056K07Rik"
3.22507429704153e-72,1.74554117477202,0.283,0.225,6.75040301113762e-68,"1","Crebzf"
