"k","seed1_sizes"
2,"7489/302"
3,"6973/516/302"
4,"4219/2754/516/302"
5,"3403/2757/813/516/302"
6,"3403/2757/813/516/302"
7,"2757/1995/813/806/780/516/124"
8,"2757/1995/813/806/780/516/124"
9,"2756/1386/869/813/708/516/317/302/124"
10,"2756/1385/813/611/516/510/478/302/296/124"
11,"2513/1028/813/610/602/552/517/477/302/253/124"
12,"2513/1028/813/610/602/552/517/477/302/253/124"
13,"2513/889/813/610/602/517/477/302/296/257/253/138/124"
14,"2513/889/813/610/603/516/355/302/296/258/253/138/124/121"
15,"2513/889/813/610/603/516/355/302/296/258/253/138/124/121"
16,"2513/813/666/610/517/472/355/318/302/253/244/235/138/124/122/109"
17,"2513/813/666/610/517/472/355/318/302/253/244/235/138/124/122/109"
18,"2448/649/516/515/472/417/354/344/309/302/296/258/253/164/138/124/123/109"
