"k","actual_k","mean_cross_seed_ari","min_cross_seed_ari","silhouette","rogue","balance"
2,2,0.1858,-0.0287,0.1704,0.7245,0.5388
3,3,0.5511,0.0921,0.1578,0.7498,0.4292
4,4,0.7453,0.5261,0.2845,0.7888,0.5511
5,5,0.6111,0.5229,0.3362,0.7993,0.5665
6,5,0.6176,0.4969,0.3362,0.7993,0.5665
7,7,0.6896,0.5317,0.3682,0.7677,0.6006
8,7,0.7567,0.6821,0.3682,0.7677,0.6006
9,9,0.8501,0.804,0.4027,0.7839,0.567
10,10,0.8118,0.7714,0.4195,0.7879,0.5601
11,11,0.8504,0.8079,0.4056,0.7814,0.6049
12,11,0.8999,0.8505,0.4056,0.7814,0.6049
13,13,0.8941,0.8606,0.4131,0.7777,0.5613
14,14,0.908,0.8757,0.4016,0.7927,0.5368
15,14,0.9196,0.8998,0.4016,0.7927,0.5368
16,16,0.9315,0.9004,0.3896,0.8039,0.5292
17,16,0.9281,0.8977,0.3896,0.8039,0.5292
18,18,0.93,0.9032,0.3821,0.8115,0.5618
