"k_param","target_k","actual_k","sizes","smallest_cluster","n_tiny_clusters","overlap_pct_vs_orig_kparam20"
10,2,2,"33,742 /  4,144",4144,0,98.92
10,3,3,"30,309 /  6,987 /    590",590,0,99.18
10,4,4,"24,864 /  8,529 /  3,882 /    611",611,0,85.14
20,2,2,"34,052 /  3,834",3834,0,100
20,3,3,"30,417 /  6,887 /    582",582,0,100
20,4,4,"30,369 /  3,869 /  3,055 /    593",593,0,100
30,2,2,"34,039 /  3,847",3847,0,99.88
30,3,3,"30,413 /  6,884 /    589",589,0,99.64
30,4,4,"30,370 /  3,851 /  3,075 /    590",590,0,99.6
50,2,2,"34,044 /  3,842",3842,0,99.82
50,3,3,"30,409 /  6,919 /    558",558,0,99.51
50,4,4,"30,337 /  3,848 /  3,143 /    558",558,0,99.31
80,2,2,"34,070 /  3,816",3816,0,99.76
80,3,3,"30,412 /  6,962 /    512",512,0,99.22
80,4,4,"30,391 /  3,822 /  3,159 /    514",514,0,99.06
