"k","cluster","S1","S2","S3","S4","S5","S6","cluster_n"
2,"1",25.5,27,4.4,13.6,9.5,19.9,34052
2,"2",7.6,34.3,23.8,5.3,5.6,23.3,3834
3,"1",26.6,28,4.1,14.6,9.8,16.8,30417
3,"2",11.4,25.5,15.7,5.6,6.3,35.5,6887
3,"3",19.2,41.1,11.3,5.3,6.2,16.8,582
4,"1",26.6,28,4.1,14.6,9.8,16.8,30369
4,"2",7.7,34.2,23.9,5.4,5.6,23.3,3869
4,"3",16.2,14.5,5.4,6,7.1,50.9,3055
4,"4",19.2,40.5,11.8,5.2,6.2,17,593
5,"1",26.6,28,4.1,14.6,9.8,16.8,30369
5,"2",7.7,34.2,23.9,5.4,5.6,23.3,3869
5,"3",16.2,14.5,5.4,6,7.1,50.9,3055
5,"4",19.2,40.5,11.8,5.2,6.2,17,593
