"group","n","xist_mean","xist_median","xist_pct_pos","y_mean","y_median","y_pct_pos","grouping"
"1",30417,0.5213,-0.659,40.7,0.0191,-0.1494,28.4,"scDHA_LL k=3"
"2",6887,-0.9694,-1.2229,8.5,-0.0965,-0.1897,24.6,"scDHA_LL k=3"
"3",582,-0.33,-0.8087,17.9,-0.0128,-0.1596,25.3,"scDHA_LL k=3"
"1",30369,0.5226,-0.6588,40.8,0.0191,-0.1495,28.4,"scDHA_LL k=4"
"2",3869,-1.0574,-1.1701,2,-0.1445,-0.1954,13.7,"scDHA_LL k=4"
"3",3055,-0.8513,-1.2762,16.8,-0.0342,-0.1321,38.6,"scDHA_LL k=4"
"4",593,-0.3206,-0.8026,18,-0.0132,-0.1598,25.1,"scDHA_LL k=4"
"S1",8982,0.2806,-0.7536,34.8,0.1488,-0.1123,45.2,"sample"
"S2",10523,0.1783,-0.7532,31.3,0.0263,-0.1439,30.1,"sample"
"S3",2406,0.0701,-0.7207,32.7,-0.201,-0.1972,0,"sample"
"S4",4849,1.5304,2.0956,69.6,-0.1807,-0.1653,0.1,"sample"
"S5",3461,1.5637,2.124,72.1,-0.2008,-0.1782,0.1,"sample"
"S6",7665,-1.0971,-1.1224,0,0.0457,-0.1074,42.4,"sample"
