"resolution","actual_k","method"
1e-05,1,"PCA + Louvain"
1.02664614696743e-05,1,"PCA + Louvain"
1.05400231108308e-05,1,"PCA + Louvain"
1.08208741156821e-05,1,"PCA + Louvain"
1.11092087176847e-05,1,"PCA + Louvain"
1.1405226325868e-05,1,"PCA + Louvain"
1.17091316627439e-05,1,"PCA + Louvain"
1.20211349058904e-05,1,"PCA + Louvain"
1.23414518333081e-05,1,"PCA + Louvain"
1.26703039726499e-05,1,"PCA + Louvain"
1.30079187544272e-05,1,"PCA + Louvain"
1.33545296692981e-05,1,"PCA + Louvain"
1.37103764295472e-05,1,"PCA + Louvain"
1.40757051348677e-05,1,"PCA + Louvain"
1.44507684425617e-05,1,"PCA + Louvain"
1.48358257422745e-05,1,"PCA + Louvain"
1.52311433353864e-05,1,"PCA + Louvain"
1.56369946191832e-05,1,"PCA + Louvain"
1.60536602759349e-05,1,"PCA + Louvain"
1.64814284670127e-05,1,"PCA + Louvain"
1.69205950321779e-05,1,"PCA + Louvain"
1.73714636941818e-05,1,"PCA + Louvain"
1.78343462688164e-05,1,"PCA + Louvain"
1.83095628805634e-05,1,"PCA + Louvain"
1.87974421839883e-05,1,"PCA + Louvain"
1.92983215910347e-05,1,"PCA + Louvain"
1.98125475043742e-05,1,"PCA + Louvain"
2.0340475556975e-05,1,"PCA + Louvain"
2.08824708580537e-05,1,"PCA + Louvain"
2.14389082455805e-05,1,"PCA + Louvain"
2.20101725455136e-05,1,"PCA + Louvain"
2.25966588379399e-05,1,"PCA + Louvain"
2.31987727303086e-05,1,"PCA + Louvain"
2.38169306379445e-05,1,"PCA + Louvain"
2.44515600720363e-05,1,"PCA + Louvain"
2.51030999352988e-05,1,"PCA + Louvain"
2.5772000825513e-05,1,"PCA + Louvain"
2.64587253471544e-05,1,"PCA + Louvain"
2.71637484313256e-05,1,"PCA + Louvain"
2.78875576642131e-05,1,"PCA + Louvain"
2.86306536242965e-05,1,"PCA + Louvain"
2.93935502285432e-05,1,"PCA + Louvain"
3.01767750878276e-05,1,"PCA + Louvain"
3.0980869871821e-05,1,"PCA + Louvain"
3.18063906836045e-05,1,"PCA + Louvain"
3.26539084442635e-05,1,"PCA + Louvain"
3.35240092877304e-05,1,"PCA + Louvain"
3.44172949661488e-05,1,"PCA + Louvain"
3.53343832660384e-05,1,"PCA + Louvain"
3.62759084355489e-05,1,"PCA + Louvain"
3.72425216230996e-05,1,"PCA + Louvain"
3.82348913277066e-05,1,"PCA + Louvain"
3.92537038613085e-05,1,"PCA + Louvain"
4.0299663823413e-05,1,"PCA + Louvain"
4.13734945883899e-05,1,"PCA + Louvain"
4.24759388057484e-05,1,"PCA + Louvain"
4.36077589137461e-05,1,"PCA + Louvain"
4.47697376666822e-05,1,"PCA + Louvain"
4.5962678676242e-05,1,"PCA + Louvain"
4.71874069672661e-05,1,"PCA + Louvain"
4.84447695483279e-05,1,"PCA + Louvain"
4.97356359975161e-05,1,"PCA + Louvain"
5.10608990638247e-05,1,"PCA + Louvain"
5.24214752845686e-05,1,"PCA + Louvain"
5.38183056192509e-05,1,"PCA + Louvain"
5.52523561003198e-05,1,"PCA + Louvain"
5.67246185012658e-05,1,"PCA + Louvain"
5.82361110225222e-05,1,"PCA + Louvain"
5.97878789956401e-05,1,"PCA + Louvain"
6.1380995606229e-05,1,"PCA + Louvain"
6.301656263616e-05,1,"PCA + Louvain"
6.46957112255456e-05,1,"PCA + Louvain"
6.64196026550242e-05,1,"PCA + Louvain"
6.81894291488884e-05,1,"PCA + Louvain"
7.0006414699615e-05,1,"PCA + Louvain"
7.1871815914364e-05,1,"PCA + Louvain"
7.37869228840346e-05,1,"PCA + Louvain"
7.57530600754772e-05,1,"PCA + Louvain"
7.77715872474812e-05,1,"PCA + Louvain"
7.98439003911681e-05,1,"PCA + Louvain"
8.19714326954443e-05,1,"PCA + Louvain"
8.41556555381782e-05,1,"PCA + Louvain"
8.63980795037892e-05,1,"PCA + Louvain"
8.87002554279513e-05,1,"PCA + Louvain"
9.10637754701333e-05,1,"PCA + Louvain"
9.34902742147197e-05,1,"PCA + Louvain"
9.59814298014707e-05,1,"PCA + Louvain"
9.85389650861052e-05,1,"PCA + Louvain"
0.000101164648831808,1,"PCA + Louvain"
0.00010386029693249,1,"PCA + Louvain"
0.000106627773668634,1,"PCA + Louvain"
0.000109468992996618,1,"PCA + Louvain"
0.000112385919872383,1,"PCA + Louvain"
0.000115380571610373,1,"PCA + Louvain"
0.00011845501927869,1,"PCA + Louvain"
0.00012161138913142,1,"PCA + Louvain"
0.000124851864079129,1,"PCA + Louvain"
0.00012817868519854,1,"PCA + Louvain"
0.000131594153282432,1,"PCA + Louvain"
0.000135100630430851,1,"PCA + Louvain"
0.000138700541684705,1,"PCA + Louvain"
0.000142396376702898,1,"PCA + Louvain"
0.000146190691484153,1,"PCA + Louvain"
0.000150086110134711,1,"PCA + Louvain"
0.00015408532668313,1,"PCA + Louvain"
0.000158191106943454,1,"PCA + Louvain"
0.00016240629042801,1,"PCA + Louvain"
0.000166733792311191,1,"PCA + Louvain"
0.000171176605445553,1,"PCA + Louvain"
0.000175737802431641,1,"PCA + Louvain"
0.000180420537742968,1,"PCA + Louvain"
0.000185228049907611,1,"PCA + Louvain"
0.00019016366374794,1,"PCA + Louvain"
0.000195230792680033,1,"PCA + Louvain"
0.000200432941074354,1,"PCA + Louvain"
0.000205773706679336,1,"PCA + Louvain"
0.000211256783109547,1,"PCA + Louvain"
0.000216885962400151,1,"PCA + Louvain"
0.000222665137629439,1,"PCA + Louvain"
0.000228598305611237,1,"PCA + Louvain"
0.00023468956965906,1,"PCA + Louvain"
0.000240943142423919,1,"PCA + Louvain"
0.000247363348807742,1,"PCA + Louvain"
0.00025395462895443,1,"PCA + Louvain"
0.000260721541320609,1,"PCA + Louvain"
0.000267668765828214,1,"PCA + Louvain"
0.000274801107101064,1,"PCA + Louvain"
0.000282123497787693,1,"PCA + Louvain"
0.00028964100197271,1,"PCA + Louvain"
0.000297358818679069,1,"PCA + Louvain"
0.000305282285463654,1,"PCA + Louvain"
0.000313416882108673,1,"PCA + Louvain"
0.000321768234411416,1,"PCA + Louvain"
0.000330342118074993,1,"PCA + Louvain"
0.000339144462702753,1,"PCA + Louvain"
0.000348181355899122,1,"PCA + Louvain"
0.00035745904747973,1,"PCA + Louvain"
