"method","target_k","actual_k","silhouette","rogue","ari","nmi"
"PCA_KMeans",2,2,0.5849,0.5427,0.2449,0.1924
"PCA_KMeans",3,3,0.4876,0.5597,0.7366,0.5522
"PCA_KMeans",4,4,0.5192,0.6146,0.8622,0.6918
"PCA_KMeans",5,5,0.5352,0.6634,0.8796,0.7306
"PCA_KMeans",6,6,0.4216,0.6372,0.602,0.6433
"PCA_KMeans",7,7,0.4274,0.6709,0.6042,0.6473
"PCA_KMeans",8,8,0.4648,0.6951,0.6184,0.6236
"PCA_KMeans",9,9,0.4699,0.6991,0.61,0.6296
"PCA_KMeans",10,10,0.4777,0.6925,0.6104,0.6342
"PCA_KMeans",11,11,0.4843,0.6972,0.6229,0.6257
"PCA_KMeans",12,12,0.4999,0.694,0.6236,0.6132
"PCA_GMM",2,2,0.4347,0.5623,0.7555,0.4856
"PCA_GMM",3,3,-0.0298,0.688,0.36,0.4999
"PCA_GMM",4,4,-0.0655,0.7047,0.2503,0.4337
"PCA_GMM",5,5,-0.026,0.6841,0.358,0.5097
"PCA_GMM",6,6,-0.0071,0.6825,0.3351,0.4441
"PCA_GMM",7,7,-0.0182,0.7226,0.2284,0.395
"PCA_GMM",8,8,0.0132,0.7177,0.2541,0.4326
"PCA_GMM",9,9,0.0163,0.736,0.2388,0.4183
"PCA_GMM",10,10,0.0384,0.7558,0.2367,0.4226
"PCA_GMM",11,11,0.0337,0.7723,0.2178,0.4079
"PCA_GMM",12,12,0.0315,0.7396,0.2227,0.4066
"scDHA_KMeans",2,2,0.4068,0.5928,0.4889,0.2263
"scDHA_KMeans",3,3,0.3973,0.633,0.4996,0.3773
"scDHA_KMeans",4,4,0.433,0.6194,0.5404,0.5036
"scDHA_KMeans",5,5,0.4366,0.6417,0.5483,0.5656
"scDHA_KMeans",6,6,0.4582,0.6723,0.5436,0.537
"scDHA_KMeans",7,7,0.2452,0.6953,0.2988,0.4205
"scDHA_KMeans",8,8,0.2596,0.6807,0.3071,0.4406
"scDHA_KMeans",9,9,0.2778,0.6692,0.318,0.4435
"scDHA_KMeans",10,10,0.2931,0.662,0.3354,0.4405
"scDHA_KMeans",11,11,0.3316,0.6937,0.428,0.4759
"scDHA_KMeans",12,12,0.3274,0.7038,0.4178,0.4634
"PCA_LL",2,2,0.5568,0.4873,0.2752,0.2302
"PCA_LL",3,3,0.4716,0.5343,0.7881,0.6334
"PCA_LL",4,4,0.4877,0.6064,0.9005,0.7711
"PCA_LL",5,5,0.4985,0.6599,0.9038,0.7983
"PCA_LL",6,6,0.5137,0.6557,0.9331,0.8945
"PCA_LL",7,6,0.5137,0.6557,0.9331,0.8945
"PCA_LL",8,8,0.5099,0.6937,0.9082,0.7902
"PCA_LL",9,8,0.5099,0.6937,0.9082,0.7902
"PCA_LL",10,10,0.4762,0.7058,0.6195,0.6161
"PCA_LL",11,11,0.485,0.7123,0.6156,0.602
"PCA_LL",12,12,0.4901,0.7006,0.6174,0.6064
"scDHA_LL",2,2,0.4367,0.67,0.0326,0.0432
"scDHA_LL",3,3,0.3704,0.7382,0.1717,0.1355
"scDHA_LL",4,4,0.3978,0.6852,0.5558,0.4323
"scDHA_LL",5,5,0.4073,0.6888,0.7021,0.5876
"scDHA_LL",6,6,0.4479,0.6934,0.9016,0.774
"scDHA_LL",7,6,0.4479,0.6934,0.9016,0.774
"scDHA_LL",8,8,0.4567,0.6961,0.7262,0.6566
"scDHA_LL",9,8,0.4567,0.6961,0.7262,0.6566
"scDHA_LL",10,10,0.45,0.695,0.671,0.6042
"scDHA_LL",11,11,0.4595,0.6935,0.6678,0.5884
"scDHA_LL",12,11,0.4595,0.6935,0.6678,0.5884
"PCA_Leiden",2,6,0.535,0.6929,0.919,0.8461
"PCA_Leiden",3,6,0.535,0.6929,0.919,0.8461
"PCA_Leiden",4,6,0.535,0.6929,0.919,0.8461
"PCA_Leiden",5,6,0.535,0.6929,0.919,0.8461
"PCA_Leiden",6,6,0.535,0.6929,0.919,0.8461
"PCA_Leiden",7,7,0.4577,0.7272,0.627,0.6544
"PCA_Leiden",8,8,0.4476,0.6975,0.612,0.6362
"PCA_Leiden",9,9,0.4639,0.6938,0.6302,0.6571
"PCA_Leiden",10,10,0.4642,0.6938,0.6309,0.6573
"PCA_Leiden",11,11,0.4746,0.6723,0.6297,0.6476
"PCA_Leiden",12,12,0.4746,0.6722,0.6298,0.6478
"scDHA_Leiden",2,5,0.4073,0.6889,0.7021,0.5877
"scDHA_Leiden",3,5,0.4073,0.6889,0.7021,0.5877
"scDHA_Leiden",4,5,0.4073,0.6889,0.7021,0.5877
"scDHA_Leiden",5,5,0.4073,0.6889,0.7021,0.5877
"scDHA_Leiden",6,6,0.4467,0.698,0.831,0.7069
"scDHA_Leiden",7,7,0.4295,0.6917,0.8749,0.7619
"scDHA_Leiden",8,8,0.4433,0.7052,0.7136,0.6399
"scDHA_Leiden",9,8,0.4433,0.7052,0.7136,0.6399
"scDHA_Leiden",10,11,0.4435,0.7052,0.7139,0.6403
"scDHA_Leiden",11,11,0.4435,0.7052,0.7139,0.6403
"scDHA_Leiden",12,12,0.454,0.7093,0.6731,0.6332
