"method","target_k","actual_k","balance","jacc_min","marker_spec","rogue","ari","nmi","sizes_str"
"PCA_KMeans",2,2,0.5753,0.9991,0.5297,0.5427,0.2449,0.1924,"4239/52040"
"PCA_KMeans",3,3,0.5477,0.9987,0.5797,0.5597,0.7366,0.5522,"9592/4251/42436"
"PCA_KMeans",4,4,0.4791,0.836,0.5368,0.6146,0.8622,0.6918,"9576/4249/2571/39883"
"PCA_KMeans",5,5,0.4448,0.7625,0.5487,0.6634,0.8796,0.7306,"2726/39249/7484/4251/2569"
"PCA_KMeans",6,6,0.4689,0.2243,0.4969,0.6372,0.602,0.6433,"9413/2554/31858/7743/3818/893"
"PCA_KMeans",7,7,0.4054,0.7081,0.6197,0.6709,0.6042,0.6473,"501/31811/7742/9411/2553/3818/443"
"PCA_KMeans",8,8,0.4083,0.5886,0.6159,0.6951,0.6184,0.6236,"3816/7414/7731/501/2725/2552/443/31097"
"PCA_KMeans",9,9,0.3865,0.3504,0.6801,0.6991,0.61,0.6296,"5132/31680/2717/443/2022/7740/3815/2549/181"
"PCA_KMeans",10,10,0.3544,0.7857,0.7237,0.6925,0.6104,0.6342,"2716/2025/292/7740/4791/181/31727/443/2548/3816"
"PCA_KMeans",11,11,0.3363,0.3705,0.6919,0.6972,0.6229,0.6257,"181/4789/443/1573/31354/1000/7728/2386/3817/2716/292"
"PCA_KMeans",12,12,0.344,0.0523,0.6466,0.694,0.6236,0.6132,"4779/437/1573/30065/1002/7709/1955/3703/2716/282/177/1881"
"PCA_GMM",2,2,0.8481,0.9998,0.3231,0.5623,0.7555,0.4856,"19593/36686"
"PCA_GMM",3,3,0.9033,0.998,0.2556,0.688,0.36,0.4999,"19247/14436/22596"
"PCA_GMM",4,4,0.7907,0.9865,0.2109,0.7047,0.2503,0.4337,"19163/12707/18890/5519"
"PCA_GMM",5,5,0.7754,0.5748,0.2652,0.6841,0.358,0.5097,"11459/12685/18848/5496/7791"
"PCA_GMM",6,6,0.6969,0.6634,0.2878,0.6825,0.3351,0.4441,"8826/12667/18724/5464/7824/2774"
"PCA_GMM",7,7,0.7846,0.61,0.2538,0.7226,0.2284,0.395,"8660/12424/11608/5408/7816/2774/7589"
"PCA_GMM",8,8,0.7388,0.4183,0.3253,0.7177,0.2541,0.4326,"4329/8098/12515/11479/5263/4307/2777/7511"
"PCA_GMM",9,9,0.7149,0.5109,0.3018,0.736,0.2388,0.4183,"4275/7912/13592/9756/3834/3509/4314/2777/6310"
"PCA_GMM",10,10,0.7437,0.3545,0.3249,0.7558,0.2367,0.4226,"4275/5148/13201/7443/5768/3534/4278/2764/6633/3235"
"PCA_GMM",11,11,0.7622,0.2899,0.3056,0.7723,0.2178,0.4079,"4281/5021/13123/6510/5375/3537/4431/2761/4254/3986/3000"
"PCA_GMM",12,12,0.702,0.3428,0.3031,0.7396,0.2227,0.4066,"3999/4890/13231/6939/5448/3343/3894/2951/2735/4487/3382/980"
"scDHA_KMeans",2,2,0.821,0.9988,0.1909,0.5928,0.4889,0.2263,"38212/18067"
"scDHA_KMeans",3,3,0.6767,0.9985,0.2493,0.633,0.4996,0.3773,"8258/35548/12473"
"scDHA_KMeans",4,4,0.5843,0.9969,0.4255,0.6194,0.5404,0.5036,"35616/7848/4560/8255"
"scDHA_KMeans",5,5,0.5127,0.9963,0.4416,0.6417,0.5483,0.5656,"7832/35102/4545/6336/2464"
"scDHA_KMeans",6,6,0.482,0.7973,0.4756,0.6723,0.5436,0.537,"2570/6333/4561/35036/2461/5318"
